Venue,State,MinAirport,Latitude,Longitude
Mustard Seed Garden,Indiana,43,40.043,-86.037569
Iron Ember,Indiana,34,39.964409,-86.095272
The Meeting House,Rhode Island,67,,
Newport Beach House,Rhode Island,78,41.489387,-71.284654
Meadow Brook inn,Rhode Island,90,41.43546,-71.655078
Kinney Bungalow,Rhode Island,103,41.407,-71.4789
Glen Manor House,Rhode Island,70,41.558,-71.2389
Mount Hope Farm,Rhode Island,65,41.669,-71.257
Blissful Meadows,Massachusetts,61,42.032,-71.68133
Sycamore at Mallow Run,Indiana,30,39.551175,-86.23565
Barn at Zionsville,Indiana,35,39.999,-86.307
Biltwell Event Center,Indiana,17,39.755,-86.17714
The Homestead 1835,Indiana,101,41.717167,-86.520385
Freedom Barn,Indiana,31,39.738,-85.9534
Thompson Inn,New Hampshire,77,43.106,-70.95
Canal 337,Indiana,22,39.782,-86.166
Red Barn at Sycamore Farm,Indiana,74,39.462,-87.34
The Sycamore at Mallow Run,Indiana,30,39.5513,-86.2354
The Barn at Flanagan Farm,Maine,105,43.629,-70.5124
The Barn on the Pemi,New Hampshire,102,43.7326,-71.673749
Olio,Massachusetts,28,42.5249,-70.925
Barn Lights,Maine,98,43.528478,-70.917391
Barn at Bull Meadow,New Hampshire,74,43.2546,-71.5885
Commons 1854,Massachusetts,32,42.643279,-70.950104
9OFS,Massachusetts,11,42.356,-71.0568
Pine Hills Golf Club,Massachusetts,49,41.885835,-70.594349
Allrose Farm,New Hampshire,85,42.948224,-71.851504
Salem Cross Inn,Massachusetts,81,42.244331,-72.173231
Tyrone Farms,Connecticut,73,41.888922,-71.946323
Zorvino Vineyards,New Hampshire,57,42.920211,-71.174852
Smith Farm at Brooksby Farm,Massachusetts,33,42.54577,-70.964
Atlantica,Massachusetts,43,42.239787,-70.791424
Barn at Bensom Pond,Massachusetts,54,41.83,-70.773321
Red Lion Inn & Barn,Massachusetts,41,42.239795,-70.801326
Moraine Farm,Massachusetts,32,42.586302,-70.894263
Bloom Meadows,Massachusetts,153,42.610069,-73.286686
Plimoth Plantation,Massachusetts,45,41.938,-70.625524
Appleton Farms,Massachusetts,43,42.648035,-70.851207
1620 Winery at Cordage,Massachusetts,51,41.978072,-70.68602
Gedney Farm,Massachusetts,144,42.1215,-73.225512
Box Mill Hall,Massachusetts,59,41.78462,-70.718445
Cogswell's Grant,Massachusetts,48,42.639228,-70.773576
Hyland Orchard,Massachusetts,62,42.140166,-72.110265
Historic Hamilton Hall,Massachusetts,28,42.519619,-70.8992
